IDX,X,Y,TYPE,SPEED,DIRTYPE,DIRECTION
1500001591,43.9992000,44.5665500,1,0,0,0
1500001592,41.8723500,44.5713500,1,60,0,0
1500001593,43.1302700,44.5900400,1,90,0,0
1500001594,43.1200800,44.5977500,1,70,0,0
1500001595,44.4624130,44.6035700,1,0,0,0
1500001596,42.0860170,44.6207060,1,70,0,0
1500001597,41.9446500,44.6320700,1,40,0,0
1500001598,41.8381800,44.6371400,1,70,0,0
1500001599,41.8377800,44.6377100,1,70,0,0
1500001600,41.9636000,44.6416100,1,70,0,0
1500001601,41.9336700,44.6496900,1,60,0,0
1500001602,41.9257500,44.6535100,1,60,0,0
1500001603,44.9516900,44.6560400,1,50,0,0
1500001604,41.9023600,44.6640000,1,60,0,0
1500001605,41.7992700,44.6830200,1,70,0,0
1500001606,43.9937300,44.6973600,1,50,0,0
1500001607,41.8491670,44.7130560,1,90,0,0
1500001608,44.1916400,44.7230600,1,40,0,0
1500001609,41.7985550,44.7281810,1,90,0,0
1500001610,43.7213050,44.7304200,1,70,0,0
1500001611,44.0882200,44.7379200,1,70,0,0
1500001612,42.9396700,44.7402000,1,60,0,0
1500001613,44.0971520,44.7451370,1,0,0,0
1500001614,42.9282100,44.7455080,3,0,0,0
1500001615,44.9861800,44.7522800,1,60,0,0
1500001616,43.6304900,44.7551700,1,90,0,0
1500001617,44.1941600,44.7570100,1,70,0,0
1500001618,41.6117900,44.7609800,1,90,0,0
1500001619,43.4388700,44.7614000,1,60,0,0
1500001620,44.1528190,44.7761650,3,40,0,0
1500001621,41.8346940,44.7776940,1,70,0,0
1500001622,44.1662660,44.7833220,3,20,0,0
1500001623,44.9182200,44.7874000,1,60,0,0
1500001624,43.3392500,44.7900600,1,90,0,0
1500001625,42.8353800,44.7943300,1,70,0,0
1500001626,41.8595810,44.7958340,1,70,0,0
1500001627,41.8592150,44.7962800,1,70,0,0
1500001628,44.1998000,44.8034400,1,40,0,0
1500001629,43.2761700,44.8043700,1,70,0,0
1500001630,44.1929500,44.8107300,1,60,0,0
1500001631,43.2452100,44.8110100,1,70,0,0
1500001632,44.2549640,44.8232430,1,0,0,0
1500001633,42.8490570,44.8318120,3,0,0,0
1500001634,44.6519400,44.8344900,1,40,0,0
1500001635,41.9337100,44.8526100,1,60,0,0
1500001636,41.9335300,44.8528700,1,60,0,0
1500001637,41.7564610,44.8669680,1,0,0,0
1500001638,43.0800300,44.8817000,1,70,0,0
1500001639,41.9267300,44.8941900,1,40,0,0
1500001640,42.7568800,44.9076800,1,70,0,0
1500001641,41.9564270,44.9520650,1,70,0,0
1500001642,41.9393300,44.9915500,1,60,0,0
1500001643,41.9396200,44.9915800,1,60,0,0
1500001644,41.9248340,44.9980181,3,0,0,0
1500001645,41.9255710,45.0000780,1,40,0,0
1500001646,41.9256000,45.0001500,1,40,0,0
1500001647,41.9445800,45.0037900,1,60,0,0
1500001648,41.9272220,45.0050000,1,60,0,0
1500001649,41.9272220,45.0052780,1,60,0,0
1500001650,41.9426780,45.0063820,1,60,0,0
1500001651,41.8937720,45.0144080,1,40,0,0
1500001652,41.8944270,45.0149120,1,40,0,0
1500001653,41.9335870,45.0196550,3,0,0,0
1500001654,41.8305700,45.0210700,1,60,0,0
1500001655,41.9009400,45.0245300,3,60,0,0
1500001656,41.8987900,45.0267500,1,60,0,0
1500001657,41.9372220,45.0311110,3,0,0,0
1500001658,41.9122220,45.0388890,3,0,0,0
1500001659,41.9656220,45.0392080,3,0,0,0
1500001660,41.9120400,45.0418000,1,60,0,0
1500001661,41.9117500,45.0420070,1,40,0,0
1500001662,41.9607330,45.0436860,3,0,0,0
1500001663,41.9705900,45.0446800,1,40,0,0
1500001664,41.9710600,45.0469500,1,40,0,0
1500001665,41.9120680,45.0477430,1,60,0,0
1500001666,42.0142500,45.0482800,1,60,0,0
1500001667,41.9836110,45.0494440,3,0,0,0
1500001668,42.0201530,45.0500220,1,40,0,0
1500001669,42.0492180,45.0563320,1,60,0,0
1500001670,42.0998100,45.0580000,1,70,0,0
1500001671,41.9225100,45.0620480,3,0,0,0
1500001672,42.1221120,45.0622030,1,50,0,0
1500001673,42.1342000,45.0644000,1,90,0,0
1500001674,42.0849800,45.0656600,1,90,0,0
1500001675,41.9353590,45.0746910,1,40,0,0
1500001676,41.9347220,45.0750000,1,60,0,0
1500001677,41.5687020,45.0782180,1,0,0,0
1500001678,42.0702400,45.0818500,1,40,0,0
1500001679,41.9461110,45.0902780,1,60,0,0
1500001680,41.9461110,45.0905560,1,60,0,0
1500001681,42.2135000,45.0933000,1,90,0,0
1500001682,42.0377900,45.0969600,1,70,0,0
1500001683,42.2269900,45.0975300,1,60,0,0
1500001684,42.2283400,45.0979500,1,60,0,0
1500001685,42.0157800,45.0990700,1,70,0,0
1500001686,43.1883400,45.1004700,1,70,0,0
1500001687,42.0186600,45.1048600,1,70,0,0
1500001688,42.0140500,45.1064300,1,50,0,0
1500001689,42.0177200,45.1066400,1,90,0,0
1500001690,41.9599700,45.1078500,1,90,0,0
1500001691,41.9539960,45.1086680,1,50,0,0
1500001692,42.9781550,45.1107320,1,50,0,0
1500001693,41.9557100,45.1119500,1,50,0,0
1500001694,43.4343100,45.1124400,1,60,0,0
1500001695,43.3051920,45.1127470,1,0,0,0
1500001696,42.1035650,45.1134100,3,0,0,0
1500001697,42.0334600,45.1157300,1,70,0,0
1500001698,42.2975000,45.1168300,1,60,0,0
1500001699,41.9596600,45.1171000,1,60,0,0
1500001700,41.9615300,45.1205800,1,60,0,0
1500001701,41.9625000,45.1308830,1,60,0,0
1500001702,42.3449000,45.1345000,1,70,0,0
1500001703,41.9628300,45.1347800,1,60,0,0
1500001704,42.0664800,45.1358400,1,50,0,0
1500001705,41.9707500,45.1449600,1,70,0,0
1500001706,41.9711600,45.1449800,1,70,0,0
1500001707,41.9727900,45.1468900,1,50,0,0
1500001708,42.7640770,45.1551430,1,0,0,0
1500001709,41.9723000,45.1703300,1,90,0,0
1500001710,42.9397940,45.1744380,1,70,0,0
1500001711,41.9690600,45.1914700,1,70,0,0
1500001712,42.3953000,45.1993000,1,40,0,0
1500001713,41.9512220,45.2003610,1,70,0,0
1500001714,41.9690620,45.2030710,1,70,0,0
1500001715,42.9245700,45.2108600,1,50,0,0
1500001716,41.9684000,45.2284400,1,90,0,0
1500001717,41.8359740,45.2440580,1,50,0,0
1500001718,41.8331000,45.2454000,1,50,0,0
1500001719,42.4788600,45.2512100,1,70,0,0
1500001720,41.9349190,45.2692330,1,70,0,0
1500001721,42.9112400,45.2709900,1,50,0,0
1500001722,42.8007400,45.3049300,1,90,0,0
1500001723,41.7288700,45.3460800,1,70,0,0
1500001724,42.8486300,45.3484000,1,60,0,0
1500001725,42.8468600,45.3484700,1,40,0,0
1500001726,42.0121000,45.3488700,1,50,0,0
1500001727,41.9544100,45.3511100,1,70,0,0
1500001728,41.9542970,45.3515800,1,70,0,0
1500001729,41.7116060,45.3528200,1,60,0,0
1500001730,41.6987350,45.3575520,1,0,0,0
1500001731,42.8646000,45.3582900,1,0,0,0
1500001732,41.6929500,45.3598100,1,40,0,0
1500001733,41.6057500,45.3643500,1,90,0,0
1500001734,41.9710400,45.4460400,1,40,0,0
1500001735,44.0514000,45.4526000,1,0,0,0
1500001736,41.1727520,45.4626600,1,50,0,0
1500001737,41.2859194,45.4744162,1,70,0,0
1500001738,41.0905800,45.4769900,1,60,0,0
1500001739,41.2246200,45.4937400,1,40,0,0
1500001740,41.2260700,45.5009500,1,40,0,0
1500001741,41.3114100,45.5512000,1,60,0,0
1500001742,41.9399340,45.6178870,1,70,0,0
1500001743,41.9247700,45.6304300,1,90,0,0
1500001744,41.3910500,45.6378300,1,40,0,0
1500001745,42.8104500,45.7604080,1,90,0,0
1500001746,41.7930900,45.7828500,1,50,0,0
1500001747,41.7926600,45.7832900,1,50,0,0
1500001748,42.6607700,45.7923800,1,90,0,0
1500001749,43.0765300,45.8010400,1,60,0,0
1500001750,41.4943400,45.8313400,1,40,0,0
1500001751,41.4935260,45.8314360,1,40,0,0
1500001752,42.1993100,45.9006000,1,90,0,0
1500001753,41.2980560,45.9036110,1,60,0,0
1500001754,43.3311700,45.9063300,1,60,0,0
1500001755,41.2883280,45.9380140,1,70,0,0
1500001756,40.8591590,46.3374070,1,90,0,0
1500001757,41.4423040,46.4889780,1,70,0,0
1500001758,40.7356680,46.5004330,1,70,0,0
1500001759,41.0846960,46.5263180,1,0,0,0
1500001760,43.6586080,46.5313890,1,0,0,0
1500001761,40.0731480,46.5398890,1,90,0,0
1500001762,40.6692310,46.5566980,1,40,0,0
1500001763,40.2863230,46.8135150,1,0,0,0
1500001764,40.2323030,46.8348790,1,0,0,0
1500001765,40.9423680,46.8490220,1,90,0,0
1500001766,40.1477670,46.8829480,1,60,0,0
1500001767,39.7159100,46.9550000,1,90,0,0
1500001768,39.7277470,46.9937790,1,90,0,0
1500001769,39.3881940,47.0018980,1,0,0,0
1500001770,39.9681840,47.0037890,1,0,0,0
1500001771,42.8080930,47.0053080,1,0,0,0
1500001772,42.1753590,47.0148570,1,70,0,0
1500001773,39.7396630,47.0309520,1,50,0,0
1500001774,39.8076630,47.0649040,1,90,0,0
1500001775,39.4259580,47.0694000,1,60,0,0
1500001776,39.7580630,47.0747160,1,90,0,0
1500001777,39.5376310,47.0824260,1,40,0,0
1500001778,39.4818910,47.0843180,1,50,0,0
1500001779,39.5962020,47.0847930,1,70,0,0
1500001780,39.6106950,47.0912360,1,90,0,0
1500001781,39.6467700,47.1069540,1,60,0,0
1500001782,39.6521480,47.1098180,1,60,0,0
1500001783,39.8560880,47.1151030,1,0,0,0
1500001784,39.6605730,47.1197380,1,90,0,0
1500001785,39.7742820,47.1269400,1,50,0,0
1500001786,39.9587490,47.1315670,1,50,0,0
1500001787,42.4850550,47.1519070,1,40,0,0
1500001788,39.7198120,47.1540520,1,90,0,0
1500001789,39.7701020,47.1544690,1,0,0,0
1500001790,39.8124900,47.1584080,1,0,0,0
1500001791,40.2678910,47.1653420,1,90,0,0
1500001792,39.8713670,47.1660950,1,90,0,0
1500001793,38.3814970,47.1683480,1,50,0,0
1500001794,39.6302870,47.1895690,1,0,0,0
1500001795,39.6353750,47.1918500,1,40,0,0
1500001796,39.6364170,47.1920680,1,60,0,0
1500001797,39.6256510,47.1963070,1,0,0,0
1500001798,39.6579320,47.1973770,1,0,0,0
1500001799,39.6681670,47.2015530,3,60,0,0
1500001800,39.7179070,47.2021550,1,60,0,0
1500001801,39.7179860,47.2022160,1,60,0,0
1500001802,39.7771190,47.2025030,1,60,0,0
1500001803,39.6764820,47.2065330,1,0,0,0
1500001804,39.7398430,47.2070610,1,60,0,0
1500001805,39.7239430,47.2106880,1,60,0,0
1500001806,39.7293090,47.2109100,1,0,0,0
1500001807,39.6741320,47.2109140,1,60,0,0
1500001808,39.6770580,47.2112060,1,60,0,0
1500001809,39.6783780,47.2112320,1,0,0,0
1500001810,39.6134150,47.2112380,1,60,0,0
1500001811,39.6639500,47.2113190,1,60,0,0
1500001812,39.6847750,47.2115970,1,60,0,0
1500001813,39.6600450,47.2116110,1,60,0,0
1500001814,39.6133320,47.2117560,1,60,0,0
1500001815,39.6912650,47.2120700,1,60,0,0
1500001816,39.6399320,47.2123010,1,60,0,0
1500001817,39.6311310,47.2123750,1,40,0,0
1500001818,39.7234520,47.2124700,1,0,0,0
1500001819,39.6862290,47.2145070,1,0,0,0
1500001820,39.6989680,47.2145430,1,60,0,0
1500001821,39.7013720,47.2153740,1,0,0,0
1500001822,39.7011860,47.2157910,1,0,0,0
1500001823,39.7229320,47.2160700,1,40,0,0
1500001824,39.6791580,47.2163770,1,0,0,0
1500001825,39.7088890,47.2163890,1,0,0,0
1500001826,39.7064060,47.2164210,1,60,0,0
1500001827,39.6950000,47.2177780,1,0,0,0
1500001828,39.6975790,47.2179360,1,0,0,0
1500001829,39.7088340,47.2179410,1,0,0,0
1500001830,39.6456540,47.2184880,1,0,0,0
1500001831,39.6941670,47.2188890,1,0,0,0
1500001832,39.7038880,47.2190790,1,60,0,0
1500001833,39.7077780,47.2191670,3,0,0,0
1500001834,39.7200900,47.2192400,3,0,0,0
1500001835,39.6455300,47.2193480,1,0,0,0
1500001836,39.6923440,47.2196030,1,0,0,0
1500001837,39.7075250,47.2199230,3,0,0,0
1500001838,39.6571100,47.2202470,1,60,0,0
1500001839,39.6926880,47.2221420,1,0,0,0
1500001840,39.7185640,47.2222790,3,0,0,0
1500001841,39.7000000,47.2225250,1,0,0,0
1500001842,39.7225600,47.2233350,1,0,0,0
1500001843,39.7252680,47.2237400,1,0,0,0
1500001844,39.6139790,47.2239190,1,60,0,0
1500001845,39.6136060,47.2242950,1,40,0,0
1500001846,39.7054640,47.2246080,3,0,0,0
